"zip","median_income_census"
"Geographic Area Name",NA
"12183",59406
"12184",98622
"12185",110625
"12186",112446
"12187",78149
"12188",92279
"12189",65276
"12190",74286
"12192",106213
"12193",108438
"12194",91250
"12195",148815
"12196",110889
"12197",77778
"12198",113083
"12202",52868
"12203",83147
"12204",74841
"12205",91020
"12206",41548
"12207",58998
"12208",70413
"12209",89390
"12210",55843
"12211",156605
"12222",NA
"12226",NA
"12302",98163
"12303",84375
"12304",69235
"12305",53326
"12306",83202
"12307",24758
"12308",63434
"12309",125274
"12401",69305
"12404",77214
"12405",97500
"12406",71208
"12407",63438
"12409",116280
"12410",NA
"12411",97880
"12412",82195
"12413",60363
"12414",73036
"12416",NA
"12417",120417
"12418",98472
"12419",121776
"12420",120559
"12421",100819
"12422",91667
"12423",75511
"12424",54141
"12427",NA
"12428",63145
"12429",NA
"12430",68250
"12431",80694
"12432",48193
"12433",96250
"12434",48656
"12435",112813
"12436",108056
"12438",78512
"12439",102989
"12440",106553
"12441",55893
"12442",36912
"12443",104412
"12444",77708
"12446",85979
"12448",NA
"12449",93750
"12450",NA
"12451",56477
"12452",NA
"12453",NA
"12454",88750
"12455",85926
"12456",63833
"12457",90667
"12458",64851
"12459",NA
"12460",109750
"12461",112273
"12463",NA
"12464",NA
"12465",NA
"12466",78182
"12468",51875
"12469",99722
"12470",86349
"12471",NA
"12472",70559
"12473",103542
"12474",57428
"12475",103412
"12477",80861
"12480",66491
"12481",124286
"12482",NA
"12483",NA
"12484",119779
"12485",67165
"12486",96964
"12487",95230
"12489",NA
"12490",NA
"12491",100257
"12492",150833
"12493",105617
"12494",145303
"12495",NA
"12496",59286
"12498",94210
"12501",75104
"12502",85192
"12503",117935
"12504",NA
"12507",116198
"12508",92461
"12512",99025
"12513",60951
"12514",120439
"12515",103500
"12516",128750
"12517",153958
"12518",101208
"12520",136797
"12521",75652
"12522",76157
"12523",54235
"12524",99034
"12525",110268
"12526",97679
"12527",NA
"12528",92462
"12529",70750
"12530",NA
"12531",129028
"12533",141585
"12534",72741
"12538",86230
"12540",111320
"12542",121378
"12543",75583
"12544",NA
"12545",101354
"12546",84455
"12547",88778
"12548",132083
"12549",122734
"12550",85697
"12553",92757
"12561",92288
"12563",98415
"12564",111324
"12565",56563
"12566",112831
"12567",103750
"12569",100846
"12570",128906
"12571",118967
"12572",94859
"12574",NA
"12575",142530
"12577",124028
"12578",108194
"12580",134583
"12581",80640
"12582",133328
"12583",79583
"12585",99648
"12586",87194
"12589",120815
"12590",102285
"12592",71696
"12594",144202
"12601",63652
"12603",103538
"12604",NA
"12701",57222
"12719",79921
"12720",66597
"12721",103214
"12722",NA
"12723",77313
"12724",NA
"12725",90893
"12726",77149
"12729",66982
"12732",50125
"12733",56056
"12734",56740
"12736",44330
"12737",87939
"12738",95481
"12740",103462
"12741",68897
"12742",148160
"12743",86053
"12745",NA
"12746",69906
"12747",71563
"12748",86927
"12749",175083
"12750",NA
"12751",53549
"12752",NA
"12754",67624
"12758",68958
"12759",41506
"12760",90938
"12762",87381
"12763",55741
"12764",67778
"12765",NA
"12766",NA
"12767",NA
"12768",34708
"12769",141779
"12770",108452
"12771",68136
"12775",112600
"12776",84211
"12777",137500
"12778",50959
"12779",47688
"12780",74468
"12781",NA
"12783",67778
"12784",NA
"12785",140397
"12786",NA
"12787",43102
"12788",62768
"12789",71729
"12790",79193
"12791",74744
"12792",NA
"12801",67577
"12803",82057
"12804",89127
"12808",110192
"12809",83938
"12810",56250
"12811",65865
"12812",155536
"12814",104489
"12815",76302
"12816",75966
"12817",93393
"12819",64688
"12820",NA
"12821",NA
"12822",83349
"12823",118783
"12824",108533
"12827",81424
"12828",76019
"12831",100024
"12832",68929
"12833",102832
"12834",81205
"12835",66992
"12836",80221
"12837",81583
"12838",62348
"12839",71423
"12841",63348
"12842",58702
"12843",61304
"12844",133750
"12845",100774
"12846",46344
"12847",70962
"12849",NA
"12850",92083
"12851",73750
"12852",108750
"12853",57950
"12854",NA
"12855",77292
"12856",59200
"12857",68500
"12858",124167
"12859",71250
"12860",95625
"12861",92031
"12862",NA
"12863",96679
"12864",NA
"12865",71983
"12866",101901
"12870",72628
"12871",96024
"12872",NA
"12873",103239
"12874",158500
"12878",63657
"12883",65865
"12884",37045
"12885",59429
"12886",127649
"12887",56709
"12901",60942
"12903",77733
"12910",53021
"12911",NA
"12912",70046
"12913",81250
"12914",32778
"12915",78750
"12916",69833
"12917",62750
"12918",91951
"12919",80931
"12920",79773
"12921",101302
"12922",88333
"12923",50833
"12924",NA
"12926",56424
"12927",68125
"12928",82813
"12929",62411
"12930",68603
"12932",56771
"12933",NA
"12934",77734
"12935",57542
"12936",77321
"12937",55417
"12939",51635
"12941",68625
"12942",115000
"12943",NA
"12944",72207
"12945",80227
"12946",77548
"12950",82794
"12952",52841
"12953",68799
"12955",78487
"12956",69692
"12957",54572
"12958",63977
"12959",54981
"12960",64702
"12961",NA
"12962",77847
"12964",99688
"12965",66477
"12966",65893
