price,street,area,bedrooms,bathrooms,halfbathrooms,unit,status,buildingType,latitude,longitude
2636,475 West 186th Street,Fort George,1,1,0,1F,ACTIVE,RENTAL,40.851032,-73.92767
8640,400 West 61st Street,Lincoln Square,1,1,0,803,ACTIVE,RENTAL,40.773293,-73.991585
3395,2413 3rd Avenue,Mott Haven,1,1,0,2602,ACTIVE,RENTAL,40.808754,-73.93145
7000,45 West 81st Street,Upper West Side,2,2,0,14R,ACTIVE,RENTAL,40.783146,-73.973694
4400,165 Howard Avenue,Stuyvesant Heights,4,2,0,2R,ACTIVE,RENTAL,40.68278,-73.9198
2835,203 East 121st Street,East Harlem,1,1,0,406,ACTIVE,RENTAL,40.801193,-73.93729
4750,200 West 94th Street,Upper West Side,3,1,1,4E,ACTIVE,RENTAL,40.79278,-73.9717
6048,55 Fleet Street,Downtown Brooklyn,1,1,0,42J,ACTIVE,RENTAL,40.6907,-73.9823
7402,420 East 54th Street,Sutton Place,2,2,0,1415,ACTIVE,RENTAL,40.7558,-73.9635
2799,41 West 86th Street,Upper West Side,0,1,0,08B,ACTIVE,RENTAL,40.7863,-73.971
4079,567 West 125th Street,Manhattanville,3,1,1,3C,ACTIVE,RENTAL,40.81554,-73.95774
2900,620 West 171st Street,Washington Heights,1,1,0,3K,ACTIVE,RENTAL,40.84316,-73.93962
7550,650 1st Avenue,Murray Hill,1,1,0,5M,ACTIVE,RENTAL,40.74572,-73.971634
7225,606 West 30th Street,West Chelsea,1,1,0,43H,ACTIVE,RENTAL,40.753403,-74.00476
4261,8 Court Square,Hunters Point,0,1,0,PH1G,ACTIVE,RENTAL,40.746864,-73.942474
5302,30-02 39th Avenue,Long Island City,2,1,0,B515,ACTIVE,RENTAL,40.7525,-73.9337
4550,20 Halletts Point,Astoria,2,1,0,2-2402,ACTIVE,RENTAL,40.776154,-73.93589
4400,30 Halletts Point,Astoria,2,1,0,3-0221,ACTIVE,RENTAL,40.77657,-73.936356
6903,8 Court Square,Hunters Point,2,2,0,10B,ACTIVE,RENTAL,40.746864,-73.942474
7746,30 Waterside Plaza,Kips Bay,3,2,0,10-28J,ACTIVE,RENTAL,40.7379,-73.973
3762,10 Hanover Square,Financial District,0,1,0,11T,ACTIVE,RENTAL,40.7046,-74.0088
4450,55 Fleet Street,Downtown Brooklyn,0,1,0,18B,ACTIVE,RENTAL,40.6907,-73.9823
5100,55 Fleet Street,Downtown Brooklyn,1,1,0,39I,ACTIVE,RENTAL,40.6907,-73.9823
5430,150 East 44th Street,Turtle Bay,1,1,0,51D,ACTIVE,RENTAL,40.7521,-73.9742
